baseline_mode,baseline_mode_label,role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,scenario_family,statistic,Year,province_n,baseline_pred_mean,scenario_adjustment_mean,scenario_pred_mean,delta_vs_baseline_mean,rx1day_baseline_mean,rx1day_scenario_mean,rx1day_delta_mean,temperature_baseline_mean,temperature_scenario_mean,temperature_delta_mean,amc_baseline_mean,amc_scenario_mean,amc_delta_mean,baseline_pred_mean_at_end,delta_vs_baseline_at_end,delta_vs_last_observed
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,31,27.210010924599764,-1.5189486859243142,25.691062238675453,-1.5189486859243146,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,14.304363015459087,-14.304363015459087,27.210010924599764,-1.5189486859243146,-5.766257860580126
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,31,27.210010924599764,0.0,27.210010924599764,0.0,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.0,-4.247309174655815
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,31,27.210010924599764,-0.8904605081445273,26.31955041645524,-0.8904605081445273,36.69237244232996,41.821285906498204,5.128913464168243,1.675473010707608,1.1500645161290322,-0.5254084945785761,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.8904605081445273,-5.137769682800339
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.9942035295911188,26.215807395008646,-0.9942035295911191,36.69237244232996,42.736590565996416,6.044218123666453,1.675473010707608,1.0840860215053767,-0.5913869892022314,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.9942035295911191,-5.241512704246933
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p90,2050,31,27.210010924599764,-0.3718857640919696,26.8381251605078,-0.37188576409196933,36.69237244232996,39.41164432943727,2.7192718871073116,1.675473010707608,1.447387096774194,-0.22808591393341415,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.37188576409196933,-4.619194938747778
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,median,2050,31,27.210010924599764,-0.19588648959597527,27.01412443500379,-0.19588648959597546,36.69237244232996,43.861500960261644,7.169128517931687,1.675473010707608,1.469290322580645,-0.20618268812696303,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.19588648959597546,-4.443195664251789
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.641519955532735,26.56849096906703,-0.6415199555327351,36.69237244232996,43.61601708929391,6.923644646963944,1.675473010707608,1.24852688172043,-0.42694612898717793,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.6415199555327351,-4.888829130188547
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p90,2050,31,27.210010924599764,0.929032474165703,28.13904339876547,0.9290324741657027,36.69237244232996,43.614189132304666,6.921816689974696,1.675473010707608,2.0395698924731183,0.36409688176551,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.9290324741657027,-3.3182767004901095
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,median,2050,31,27.210010924599764,0.5173194835124558,27.727330408112223,0.517319483512456,36.69237244232996,45.50791673087097,8.815544288541005,1.675473010707608,1.8038064516129029,0.12833344090529494,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.517319483512456,-3.7299896911433557
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.2831599697763399,26.926850954823426,-0.2831599697763397,36.69237244232996,44.01931458033333,7.326942138003371,1.675473010707608,1.422967741935484,-0.2525052687721242,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.2831599697763397,-4.530469144432153
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p90,2050,31,27.210010924599764,1.2202975121389108,28.430308436738677,1.2202975121389104,36.69237244232996,47.01232533302151,10.319952890691543,1.675473010707608,2.1353010752688175,0.4598280645612095,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.2202975121389104,-3.0270116625169017
