scenario,percentile,period,status,file_count,extensions,files,validation
ssp245,p90,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp245_p90_2020-2039.xlsx,rx1day_CHNprov_ssp245_p90_2020-2039.xlsx:ok
ssp245,p90,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp245_p90_2040-2059.xlsx,rx1day_CHNprov_ssp245_p90_2040-2059.xlsx:ok
ssp245,p90,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp245_p90_2060-2079.xlsx,rx1day_CHNprov_ssp245_p90_2060-2079.xlsx:ok
ssp245,p90,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp245_p90_2080-2099.xlsx,rx1day_CHNprov_ssp245_p90_2080-2099.xlsx:ok
ssp370,median,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp370_median_2020-2039.xlsx,rx1day_CHNprov_ssp370_median_2020-2039.xlsx:ok
ssp370,median,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp370_median_2040-2059.xlsx,rx1day_CHNprov_ssp370_median_2040-2059.xlsx:ok
ssp370,median,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp370_median_2060-2079.xlsx,rx1day_CHNprov_ssp370_median_2060-2079.xlsx:ok
ssp370,median,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp370_median_2080-2099.xlsx,rx1day_CHNprov_ssp370_median_2080-2099.xlsx:ok
ssp370,p10,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp370_p10_2020-2039.xlsx,rx1day_CHNprov_ssp370_p10_2020-2039.xlsx:ok
ssp370,p10,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp370_p10_2040-2059.xlsx,rx1day_CHNprov_ssp370_p10_2040-2059.xlsx:ok
ssp370,p10,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp370_p10_2060-2079.xlsx,rx1day_CHNprov_ssp370_p10_2060-2079.xlsx:ok
ssp370,p10,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp370_p10_2080-2099.xlsx,rx1day_CHNprov_ssp370_p10_2080-2099.xlsx:ok
ssp370,p90,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp370_p90_2020-2039.xlsx,rx1day_CHNprov_ssp370_p90_2020-2039.xlsx:ok
ssp370,p90,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp370_p90_2040-2059.xlsx,rx1day_CHNprov_ssp370_p90_2040-2059.xlsx:ok
ssp370,p90,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp370_p90_2060-2079.xlsx,rx1day_CHNprov_ssp370_p90_2060-2079.xlsx:ok
ssp370,p90,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp370_p90_2080-2099.xlsx,rx1day_CHNprov_ssp370_p90_2080-2099.xlsx:ok
ssp585,median,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp585_median_2020-2039.xlsx,rx1day_CHNprov_ssp585_median_2020-2039.xlsx:ok
ssp585,median,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp585_median_2040-2059.xlsx,rx1day_CHNprov_ssp585_median_2040-2059.xlsx:ok
ssp585,median,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp585_median_2060-2079.xlsx,rx1day_CHNprov_ssp585_median_2060-2079.xlsx:ok
ssp585,median,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp585_median_2080-2099.xlsx,rx1day_CHNprov_ssp585_median_2080-2099.xlsx:ok
ssp585,p10,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp585_p10_2020-2039.xlsx,rx1day_CHNprov_ssp585_p10_2020-2039.xlsx:ok
ssp585,p10,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp585_p10_2040-2059.xlsx,rx1day_CHNprov_ssp585_p10_2040-2059.xlsx:ok
ssp585,p10,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp585_p10_2060-2079.xlsx,rx1day_CHNprov_ssp585_p10_2060-2079.xlsx:ok
ssp585,p10,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp585_p10_2080-2099.xlsx,rx1day_CHNprov_ssp585_p10_2080-2099.xlsx:ok
ssp585,p90,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp585_p90_2020-2039.xlsx,rx1day_CHNprov_ssp585_p90_2020-2039.xlsx:ok
ssp585,p90,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp585_p90_2040-2059.xlsx,rx1day_CHNprov_ssp585_p90_2040-2059.xlsx:ok
ssp585,p90,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp585_p90_2060-2079.xlsx,rx1day_CHNprov_ssp585_p90_2060-2079.xlsx:ok
ssp585,p90,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp585_p90_2080-2099.xlsx,rx1day_CHNprov_ssp585_p90_2080-2099.xlsx:ok
