Predictor,Coefficient,95% CI,p value
省平均气温,0.6122,"(-0.8818, 2.1063)",0.4204
省平均降水,-0.0451,"(-0.1795, 0.0893)",0.5092
R1xday,-0.0024,"(-0.0387, 0.0340)",0.8986
PM2.5,-0.0039,"(-0.0822, 0.0744)",0.9222
医疗水平,0.1354,"(-0.0408, 0.3115)",0.1315
GDP,0.0049,"(-0.2229, 0.2327)",0.9663
城市用水普及率,0.0062,"(-0.0357, 0.0481)",0.7704
生活垃圾无害化处理率,-0.0013,"(-0.0423, 0.0397)",0.9496
抗菌药物使用强度,0.0094,"(-0.0155, 0.0343)",0.4591
Province,Yes,,
Year,Yes,,
N (observations),307,,
R-squared (within),-0.629,,
