Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_midpoint
海南,华南,South China,5,28.095960763134133,28.510869245193184,0.41490848205905095,28.30341500416366
天津,华北,North China,1,30.233740672134285,30.5096731861343,0.27593251400001506,30.37170692913429
北京,华北,North China,1,35.37003579539699,35.63355382916305,0.2635180337660614,35.50179481228002
河北,华北,North China,1,27.33395544342584,27.531163600102275,0.1972081566764352,27.432559521764055
辽宁,东北,Northeast China,2,18.459483922656418,18.63768964825475,0.1782057255983318,18.548586785455583
吉林,东北,Northeast China,2,30.107929594941822,30.281103317885325,0.17317372294350264,30.194516456413574
江西,华东,East China,3,29.590487255329812,29.760085607965937,0.16959835263612533,29.675286431647876
山东,华东,East China,3,25.652002198950427,25.81600575916111,0.16400356021068418,25.73400397905577
安徽,华东,East China,3,21.410446841257265,21.57272892687551,0.1622820856182443,21.491587884066387
浙江,华东,East China,3,22.550789250881007,22.703437699837703,0.15264844895669683,22.627113475359355
上海,华东,East China,3,28.029873698315853,28.17076977265108,0.14089607433522744,28.10032173548347
湖北,华中,Central China,4,29.9958085437205,30.134287932570174,0.13847938884967448,30.065048238145337
江苏,华东,East China,3,24.4066469556985,24.54171650064392,0.13506954494542,24.47418172817121
山西,华北,North China,1,29.542336300023663,29.675849896779763,0.13351359675609942,29.609093098401715
黑龙江,东北,Northeast China,2,28.58085748382557,28.703545653817663,0.12268816999209164,28.64220156882162
重庆,西南,Southwest China,6,29.799680849521764,29.91919091257396,0.11951006305219636,29.85943588104786
四川,西南,Southwest China,6,29.29573163327661,29.40613774415724,0.11040611088062846,29.350934688716926
湖南,华中,Central China,4,30.541753522114963,30.64017552140975,0.09842199929478568,30.590964521762356
内蒙古,华北,North China,1,29.87542270103634,29.97136180428433,0.09593910324799282,29.923392252660335
广西,华南,South China,5,31.67553072125708,31.767099927462723,0.09156920620564435,31.7213153243599
河南,华中,Central China,4,18.185773130375075,18.27399870323771,0.08822557286263333,18.229885916806392
福建,华东,East China,3,22.45482404402847,22.54189093206927,0.08706688804079832,22.498357488048867
宁夏,西北,Northwest China,7,25.68233209331189,25.768670665178963,0.08633857186707417,25.725501379245426
陕西,西北,Northwest China,7,31.72038002886922,31.799865807647148,0.07948577877792928,31.760122918258183
贵州,西南,Southwest China,6,19.45682325590628,19.532998506621823,0.07617525071554354,19.49491088126405
云南,西南,Southwest China,6,30.11194982909708,30.18733055307765,0.07538072398056883,30.149640191087364
广东,华南,South China,5,32.34859037010912,32.41066277127889,0.06207240116977175,32.37962657069401
青海,西北,Northwest China,7,25.16627285719411,25.207654457973955,0.04138160077984665,25.18696365758403
西藏,西南,Southwest China,6,28.460447641489743,28.49663171321164,0.03618407172189819,28.478539677350692
甘肃,西北,Northwest China,7,28.795160261784712,28.82793448960235,0.032774227817636614,28.81154737569353
新疆,西北,Northwest China,7,25.31656693832792,25.323154889172077,0.006587950844156865,25.31986091375
