Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta
河南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-2.2559194618414597,0.0,-2.2559194618414597,0.0,130.78396645835275,130.78396645835275,0.0
浙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-1.4879430267400584,0.0,-1.4879430267400584,0.0,-14.404012986043568,-14.404012986043568,0.0
海南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.9911133450735643,0.0,-0.9911133450735643,0.0,67.50588193236415,67.50588193236415,0.0
湖北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.5704373498512617,0.0,-0.5704373498512617,0.0,37.339883522154366,37.339883522154366,0.0
湖南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.37044290573900596,0.0,-0.37044290573900596,0.0,32.73558223131605,32.73558223131605,0.0
甘肃,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.6137079405339085,0.0,-0.6137079405339085,0.0,8.398881438664631,8.398881438664631,0.0
福建,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.7942639869408353,0.0,-0.7942639869408353,0.0,36.12441289967077,36.12441289967077,0.0
西藏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.6786811404925376,0.0,-0.6786811404925376,0.0,-0.5629474846893467,-0.5629474846893467,0.0
贵州,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-2.419957974837712,0.0,-2.419957974837712,0.0,34.739959623708856,34.739959623708856,0.0
辽宁,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.6382590150455132,0.0,-0.6382590150455132,0.0,62.220191963655544,62.220191963655544,0.0
重庆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.6470435131980381,0.0,-0.6470435131980381,0.0,43.86207973077786,43.86207973077786,0.0
陕西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.3893963084600473,0.0,-0.3893963084600473,0.0,31.38664933461126,31.38664933461126,0.0
青海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-1.2654143900796568,0.0,-1.2654143900796568,0.0,5.951731028433,5.951731028433,0.0
黑龙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.6749505041806803,0.0,-0.6749505041806803,0.0,26.89610696780329,26.89610696780329,0.0
