Year,province_n,outcome_actual_mean
2014,31,0.5180760436227867
2015,31,0.4247907550324049
2016,31,0.19947571476759338
2017,31,0.007435104621970698
2018,31,-0.08212787350784694
2019,31,-0.13604431469085038
2020,31,-0.18613766445953162
2021,31,-0.21077545298772796
2022,31,-0.29194597307072845
2023,31,-0.20682107748715584
