scheme,fe_spec,predictor,coef,p_value,ci_low,ci_high
方案A_平衡主线组,NoYes_YearFE,省平均气温,-0.0336319833322305,0.7127677698324457,-0.21326316931538838,0.1459992026509274
方案A_平衡主线组,NoYes_YearFE,R1xday,0.15082462947594863,0.04260977529546306,0.005059139668972673,0.29659011928292456
方案A_平衡主线组,NoYes_YearFE,PM2.5,0.020859818275005396,0.82231536083783,-0.1617981553592619,0.20351779190927272
方案A_平衡主线组,NoYes_YearFE,抗菌药物使用强度,0.13103410335157015,0.0033854032562117276,0.04375392791725105,0.21831427878588924
方案A_平衡主线组,NoYes_YearFE,GDP,0.18107999929670363,0.0231120935656024,0.025019210286856136,0.33714078830655114
方案A_平衡主线组,NoYes_YearFE,文盲比例,0.007017281345735326,0.940989213328606,-0.1793947501470552,0.19342931283852582
方案A_平衡主线组,NoYes_YearFE,人均日生活用水量(升),-0.10817399455145596,0.23192046149154155,-0.28590250547951734,0.0695545163766054
方案A_平衡主线组,NoYes_YearFE,"牲畜饲养
-猪年底头数",0.05664670604639954,0.45564575540533614,-0.09259853430586593,0.205891946398665
方案A_平衡主线组,YesNo_EntityFE,省平均气温,-0.5190370525780703,0.37805365779854494,-1.676414903034495,0.6383407978783544
方案A_平衡主线组,YesNo_EntityFE,R1xday,-0.02061534864072511,0.30046007378939077,-0.059738710032962855,0.018508012751512634
方案A_平衡主线组,YesNo_EntityFE,PM2.5,0.09711866128572914,0.0025077480968094257,0.034451272500545416,0.15978605007091287
方案A_平衡主线组,YesNo_EntityFE,抗菌药物使用强度,0.0023894493613464316,0.8999946302071218,-0.035010836044840954,0.03978973476753382
方案A_平衡主线组,YesNo_EntityFE,GDP,-0.3145746327578005,0.011107722641908513,-0.5567880650456687,-0.07236120046993233
方案A_平衡主线组,YesNo_EntityFE,文盲比例,0.23533244345456025,0.002164405890485721,0.08571131431862469,0.3849535725904958
方案A_平衡主线组,YesNo_EntityFE,人均日生活用水量(升),-0.05293542699284905,0.2406182265816712,-0.14155591544068374,0.03568506145498564
方案A_平衡主线组,YesNo_EntityFE,"牲畜饲养
-猪年底头数",0.14272018930071637,0.042739903008242486,0.004702567614556424,0.28073781098687633
方案A_平衡主线组,YesYes_TwoWayFE,省平均气温,0.5444509894375437,0.46944847392963474,-0.9354666543305884,2.024368633205676
方案A_平衡主线组,YesYes_TwoWayFE,R1xday,-0.0033076735002741846,0.8506875682706379,-0.037874226708405456,0.03125887970785708
方案A_平衡主线组,YesYes_TwoWayFE,PM2.5,-0.00310445263017116,0.93775583940793,-0.0813114715128586,0.07510256625251628
方案A_平衡主线组,YesYes_TwoWayFE,抗菌药物使用强度,0.009284693212428191,0.5169604958523597,-0.018889655693136984,0.03745904211799336
方案A_平衡主线组,YesYes_TwoWayFE,GDP,-0.038555845814127646,0.7385703238648325,-0.2657979764683387,0.18868628484008343
方案A_平衡主线组,YesYes_TwoWayFE,文盲比例,0.08552472442900289,0.14703632806946776,-0.0302674973213147,0.20131694617932047
方案A_平衡主线组,YesYes_TwoWayFE,人均日生活用水量(升),0.014015937498778306,0.7997780459275436,-0.09468920137099907,0.12272107636855567
方案A_平衡主线组,YesYes_TwoWayFE,"牲畜饲养
-猪年底头数",-0.10458159851701626,0.3503884289467274,-0.32471268346625926,0.11554948643222676
方案D_城市气候组,NoYes_YearFE,主要城市平均气温,-0.1907047597417079,0.012633841761009235,-0.34026924624859245,-0.04114027323482333
方案D_城市气候组,NoYes_YearFE,R1xday,0.15193942871593288,0.06318284980628941,-0.008400819185208824,0.31227967661707456
